Gene	mat_SRR396678	pat_SRR396678	pat_SRR396679	mat_SRR396679
GRMZM2G001223	5	1	0	3
GRMZM2G001241	28	1	3	1
GRMZM2G001243	1	0	0	0
GRMZM2G001255	1	1	4	1
GRMZM2G001272	109	40	34	62
GRMZM2G001289	73	30	9	17
GRMZM2G001296	126	63	52	34
GRMZM2G001297	116	83	37	67
GRMZM2G001304	70	25	25	45
GRMZM2G001327	4305	1928	1909	3333
GRMZM2G001332	1	1	0	3
GRMZM2G001363	1	0	0	1
GRMZM2G001415	284	95	93	119
GRMZM2G001421	53	20	41	50
GRMZM2G001447	0	1	0	0
GRMZM2G001451	0	1	0	0
GRMZM2G001454	88	40	30	70
GRMZM2G001457	13	19	5	23
GRMZM2G001500	39	13	27	42
GRMZM2G001508	11	0	0	0
GRMZM2G001514	3	1	0	3
GRMZM2G001541	60	25	14	32
GRMZM2G001592	11	8	0	7
GRMZM2G001606	63	47	30	67
GRMZM2G001631	11	20	6	23
GRMZM2G001639	261	69	62	85
GRMZM2G001645	574	240	187	249
GRMZM2G001652	28	16	8	25
GRMZM2G001661	7	7	4	48
GRMZM2G001663	9	6	1	4
GRMZM2G001668	511	293	135	310
GRMZM2G001696	4	12	3	20
GRMZM2G001724	46	36	26	71
GRMZM2G001755	5	1	2	2
GRMZM2G001764	1	0	0	0
GRMZM2G001772	2	2	0	0
GRMZM2G001777	51	17	26	23
GRMZM2G001799	4	4	0	1
GRMZM2G001805	241	54	114	68
GRMZM2G001814	0	1	0	0
GRMZM2G001820	133	124	30	165
GRMZM2G001850	1487	801	283	536
GRMZM2G001853	10	0	8	9
GRMZM2G001869	190	97	53	104
GRMZM2G001887	1313	1319	652	271
GRMZM2G001895	36	18	13	14
GRMZM2G001904	12	3	7	9
GRMZM2G001905	0	31	0	50
GRMZM2G001915	17	12	1	6
GRMZM2G001930	37	8	12	8
GRMZM2G001934	25	9	19	22
GRMZM2G001956	48	31	12	30
GRMZM2G001991	3	2	2	2
GRMZM2G002002	36	23	13	21
GRMZM2G002023	275	155	155	333
GRMZM2G002034	10	4	0	2
GRMZM2G002100	0	56	33	3
GRMZM2G002115	101	55	66	132
GRMZM2G002121	31	15	14	10
GRMZM2G002124	4	3	0	4
GRMZM2G002128	18	15	5	8
GRMZM2G002130	168	62	56	84
GRMZM2G002131	187	47	136	126
GRMZM2G002165	0	1	4	0
GRMZM2G002173	9	8	0	6
GRMZM2G002220	1060	470	520	560
GRMZM2G002240	65	0	29	0
GRMZM2G002276	76	47	16	57
GRMZM2G002280	0	8	0	3
GRMZM2G002286	4	3	4	6
GRMZM2G002361	42	30	16	27
GRMZM2G002391	30	11	5	11
GRMZM2G002416	205	147	48	111
GRMZM2G002420	72	30	31	63
GRMZM2G002427	71	32	23	38
GRMZM2G002440	37	9	5	14
GRMZM2G002465	1	0	1	2
GRMZM2G002483	0	3	0	0
GRMZM2G002492	6	7	0	4
GRMZM2G002499	16	16	5	8
GRMZM2G002559	27	7	1	3
GRMZM2G002630	947	272	2347	2061
