Gene	mat_SRR924077	pat_SRR924077	pat_SRR924078	mat_SRR924078
AC216067.3_FG002	108	60	78	286
AC216201.3_FG005	1	0	0	0
AC216229.3_FG002	2	0	1	0
AC216247.3_FG004	5	0	6	15
AC216871.3_FG004	0	4	0	19
AC216886.3_FG002	4	0	0	5
AC217050.4_FG001	345	203	113	385
AC217050.4_FG004	63	19	53	77
AC217050.4_FG006	631	391	626	1123
AC217241.3_FG004	0	25	0	3
AC217264.3_FG005	265	90	116	275
AC217271.3_FG001	108	81	123	184
AC217300.3_FG004	0	84	99	6
AC217300.3_FG005	187	192	115	248
AC217358.3_FG003	96	28	62	76
AC217358.3_FG005	9533	4738	2932	7397
AC217358.3_FG010	14	17	9	27
AC217358.3_FG011	794	301	475	709
AC217370.3_FG003	17	0	0	1
AC217401.3_FG002	35	17	26	74
AC217401.3_FG003	24	20	35	119
AC217499.3_FG001	242	111	113	267
AC217499.3_FG002	1	0	0	0
AC217556.3_FG003	376	164	183	347
AC217811.3_FG002	2	0	0	7
AC217811.3_FG003	7	2	1	9
AC217887.3_FG004	26	6	1	30
AC217887.3_FG005	640	362	248	734
AC217910.3_FG004	2	0	11	0
AC217947.4_FG002	71	33	44	80
AC217965.2_FG012	110	77	56	162
AC217977.3_FG003	47	54	58	113
AC218035.3_FG004	46	29	28	74
AC218093.3_FG005	0	4	0	0
AC218457.2_FG013	29	16	6	15
AC218900.3_FG001	42	18	26	34
AC218972.3_FG001	1063	515	548	1562
AC218972.3_FG002	4	1	3	8
AC218972.3_FG004	281	128	133	212
AC218972.3_FG007	0	1	8	8
AC219006.2_FG006	198	134	87	196
AC219043.3_FG003	0	5	0	0
AC219156.3_FG002	51	0	18	0
AC219190.3_FG002	4	1	1	1
AC220972.3_FG001	2	0	0	6
AC225147.4_FG003	40	34	24	51
AC225176.2_FG003	0	5	0	36
AC225185.3_FG004	304	252	101	446
AC225193.3_FG003	318	164	149	458
AC225193.3_FG004	201	55	48	94
AC225205.3_FG003	81	29	53	117
AC225346.3_FG001	14	2	7	4
AC225359.3_FG006	5	4	11	20
AC225790.2_FG003	15	6	2	31
AC226227.2_FG003	0	4	0	0
AC226227.2_FG004	0	2	0	0
AC226227.2_FG005	1	0	1	3
AC226230.2_FG001	36	25	23	88
AC226235.2_FG001	20	0	2	134
AC226235.2_FG002	2175	586	874	971
AC226235.2_FG003	7	0	0	12
AC226248.1_FG002	9	17	7	11
AC226373.2_FG010	9	153	136	19
AC229993.1_FG009	7	6	0	25
AC230011.2_FG002	4	0	0	11
AC230013.2_FG002	2	8	7	4
AC230013.2_FG007	7900	5626	4631	13864
AC231180.2_FG006	21	22	15	28
AC231226.2_FG001	0	2	0	0
AC231411.1_FG011	36	0	0	1
AC231745.1_FG003	705	516	109	1320
AC231745.1_FG004	307	41	182	190
AC231747.1_FG001	321	119	219	518
AC232238.2_FG008	20	7	0	34
AC232393.1_FG009	16	11	1	25
AC233850.1_FG001	4	0	0	0
AC233850.1_FG002	174	323	66	312
AC233850.1_FG003	12	1	5	23
AC233851.1_FG008	9	0	0	25
AC233851.1_FG009	25	11	8	49
AC233851.1_FG010	1	6	8	26
AC233851.1_FG011	0	6	0	5
AC233853.1_FG003	29	3	3	14
AC233861.1_FG001	2	2	2	2
AC233865.1_FG006	28	8	11	15
AC233866.1_FG006	16440	8818	8307	18987
AC233870.1_FG003	163	98	78	262
AC233870.1_FG004	44	9	28	29
AC233870.1_FG006	58	20	50	154
AC233883.1_FG006	487	308	390	940
AC233885.1_FG001	426	125	197	372
AC233885.1_FG002	0	3	0	8
AC233887.1_FG005	701	17	6	219
AC233887.1_FG006	301	95	103	281
AC233888.1_FG001	4	0	0	25
AC233892.1_FG001	20	4	25	30
AC233893.1_FG002	20	1	5	13
AC233893.1_FG003	4	2	4	4
AC233893.1_FG006	4	2	6	8
AC233894.1_FG005	99	52	38	130
AC233898.1_FG003	13	11	9	53
AC233898.1_FG004	5	4	4	8
AC233899.1_FG002	26	10	6	13
AC233899.1_FG004	0	1	0	2
AC233899.1_FG005	49	4	26	26
AC233901.1_FG004	3	0	1	0
AC233901.1_FG005	187	59	62	85
AC233901.1_FG010	14	7	4	15
AC233910.1_FG002	42	7	16	42
AC233922.1_FG004	33	37	24	52
AC233922.1_FG005	697	591	485	1129
AC233922.1_FG008	11	0	1	12
AC233935.1_FG005	2	0	0	0
AC233938.1_FG003	1	0	0	1
AC233939.1_FG004	8	4	0	9
AC233942.1_FG001	87	9	29	63
AC233952.1_FG006	402	217	201	384
AC233952.1_FG008	55	19	10	14
AC233955.1_FG002	3	0	2	0
AC233955.1_FG008	9	2	4	39
AC233955.1_FG009	2	0	4	0
AC233960.1_FG002	15	0	0	4
AC233960.1_FG003	0	4	0	0
AC233961.1_FG001	106	312	213	539
AC233967.1_FG001	188	74	59	150
AC233979.1_FG006	387	200	144	340
AC233979.1_FG011	0	2	0	0
AC234152.1_FG002	21	3	0	71
AC234152.1_FG005	0	1	0	6
AC234154.1_FG007	13	17	21	103
AC234154.1_FG008	86	10	39	47
AC234156.1_FG005	1110	1115	512	2034
AC234157.1_FG002	33	46	16	73
AC234160.1_FG003	37	0	15	0
AC234164.1_FG004	13	19	11	41
AC234166.1_FG002	6	0	0	0
AC234171.1_FG003	70	19	31	90
AC234175.1_FG010	118	45	57	79
AC234183.1_FG002	35	61	11	102
AC234185.1_FG006	1	3	0	3
AC234190.1_FG002	6	0	0	0
AC234199.1_FG003	17	6	7	3
AC234515.1_FG003	82	53	37	61
AC234520.1_FG003	19	0	0	29
AC234520.1_FG005	264	164	226	471
AC234521.1_FG004	4	3	0	0
AC234524.1_FG005	10	18	4	10
AC234526.1_FG005	3	6	0	8
AC234528.1_FG001	68	0	14	0
AC234528.1_FG004	95	112	34	331
AC234528.1_FG005	3795	1599	1833	3756
AC234528.1_FG006	7	0	0	7
AC235534.1_FG007	9	6	9	16
AC235535.1_FG001	389	205	131	409
AC235541.1_FG002	4	1	5	0
AC235543.1_FG002	25	0	4	5
AC235543.1_FG003	135	70	52	182
AC235544.1_FG002	4	5	3	9
AC235544.1_FG004	185	69	87	239
AC235544.1_FG006	3	0	4	9
AC235546.1_FG001	89	10	16	109
AC235547.1_FG005	67	66	66	190
AF466202.2_FG008	1	0	8	18
AF546187.1_FG007	13	6	4	44
AF546187.1_FG011	10	0	0	0
AF546187.1_FG012	3	0	1	2
AF546188.1_FG001	1154	418	167	897
AF546188.1_FG005	20	3	9	3
AY530952.1_FG001	20	1	4	2
AY542798.1_FG003	124	27	75	200
EF517601.1_FG010	28	6	11	32
EF517601.1_FG012	2151	1018	1025	2366
EF517601.1_FG015	77	11	35	65
EF517601.1_FG025	8	0	0	0
GRMZM2G000014	150	82	71	208
GRMZM2G000035	2	0	0	0
GRMZM2G000039	423	121	216	560
GRMZM2G000052	7	6	2	57
GRMZM2G000071	0	5	0	5
GRMZM2G000076	6	9	13	7
GRMZM2G000093	61	46	53	86
GRMZM2G000158	54	7	6	479
GRMZM2G000166	3	0	0	0
GRMZM2G000171	149	112	113	320
GRMZM2G000209	5	0	0	0
GRMZM2G000219	9	0	0	12
GRMZM2G000231	10	40	17	82
GRMZM2G000236	25	22	51	75
GRMZM2G000245	354	304	238	682
GRMZM2G000254	44	15	10	18
GRMZM2G000261	34	11	2	58
GRMZM2G000268	9	0	4	0
GRMZM2G000278	373	134	122	298
GRMZM2G000280	118	167	39	743
GRMZM2G000281	0	24	0	74
GRMZM2G000288	9	0	3	0
GRMZM2G000292	79	357	45	382
GRMZM2G000339	457	579	230	1341
GRMZM2G000361	135	82	95	60
GRMZM2G000371	26	3	5	16
GRMZM2G000380	20	3	0	59
GRMZM2G000397	583	267	258	528
GRMZM2G000404	0	29	45	6
GRMZM2G000427	3	0	0	10
GRMZM2G000451	29	2	8	9
GRMZM2G000453	57	4	17	23
GRMZM2G000481	156	36	80	105
GRMZM2G000489	28	5	18	15
GRMZM2G000510	793	415	425	939
GRMZM2G000531	4746	2027	2244	4348
GRMZM2G000540	243	83	175	220
GRMZM2G000566	63	0	14	7
GRMZM2G000576	18	0	1	24
GRMZM2G000581	19	7	31	29
GRMZM2G000587	50	41	49	66
GRMZM2G000593	70	9	38	155
GRMZM2G000601	19	0	2	25
GRMZM2G000614	6	12	21	39
GRMZM2G000615	154	90	89	293
GRMZM2G000620	34	0	17	2
GRMZM2G000633	3	2	4	11
GRMZM2G000660	20	5	7	8
GRMZM2G000665	7	11	3	1
GRMZM2G000674	52	8	43	26
GRMZM2G000679	9	0	5	11
GRMZM2G000686	41	42	15	47
GRMZM2G000710	588	324	338	786
GRMZM2G000718	588	389	270	805
GRMZM2G000741	190	82	52	133
GRMZM2G000743	4	0	0	12
GRMZM2G000749	18	1	0	0
GRMZM2G000764	3	3	4	18
GRMZM2G000777	338	304	118	486
GRMZM2G000812	49	0	0	344
GRMZM2G000816	6	0	0	16
GRMZM2G000823	1632	880	950	2065
GRMZM2G000836	3	0	0	3
GRMZM2G000874	2	0	8	0
GRMZM2G000909	182	49	76	129
GRMZM2G000923	8114	4077	3463	8757
GRMZM2G000932	63	10	5	180
GRMZM2G000937	174	78	99	147
GRMZM2G000964	39	17	33	30
GRMZM2G000973	101	10	20	47
GRMZM2G000976	215	116	96	245
GRMZM2G000980	1497	973	570	1877
GRMZM2G001024	192	92	151	260
GRMZM2G001033	223	99	102	324
GRMZM2G001048	107	42	44	79
GRMZM2G001079	38	47	8	47
GRMZM2G001088	390	235	189	643
GRMZM2G001097	24	5	2	15
GRMZM2G001106	5	0	0	1
GRMZM2G001114	262	135	191	297
GRMZM2G001116	0	1	3	2
GRMZM2G001160	43	28	33	56
GRMZM2G001169	118	73	23	110
GRMZM2G001191	498	261	328	678
GRMZM2G001221	180	112	145	236
GRMZM2G001223	8	3	1	5
GRMZM2G001241	25	0	0	6
GRMZM2G001243	8	0	0	0
GRMZM2G001272	530	259	275	886
GRMZM2G001288	5	0	0	43
GRMZM2G001289	282	162	177	334
GRMZM2G001296	82	50	88	116
GRMZM2G001297	182	62	87	127
GRMZM2G001304	240	62	75	1328
GRMZM2G001327	2721	3161	1709	6591
GRMZM2G001332	1	0	0	41
GRMZM2G001363	0	1	0	3
GRMZM2G001415	774	173	508	547
GRMZM2G001421	132	70	58	128
GRMZM2G001451	4	2	0	4
GRMZM2G001454	79	16	17	38
GRMZM2G001457	5	12	8	41
GRMZM2G001466	28	11	8	22
